happinessRank,country,score,pop2021,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.809,5548.36,10.775,0.954,72,0.949,-0.098,0.186
2,Denmark,7.646,5813.298,10.933,0.954,72.7,0.946,0.03,0.179
3,Switzerland,7.56,8715.494,11.117,0.942,74.4,0.919,0.025,0.292
4,Iceland,7.504,343.353,10.878,0.983,73,0.955,0.16,0.673
5,Norway,7.488,5465.63,11.053,0.954,73.3,0.96,0.093,0.27
6,Netherlands,7.449,17173.099,10.932,0.942,72.4,0.913,0.175,0.338
7,Sweden,7.353,10160.169,10.867,0.934,72.7,0.945,0.086,0.237
8,New Zealand,7.3,4860.643,10.643,0.948,73.4,0.929,0.134,0.242
9,Austria,7.294,9043.07,10.906,0.934,73.3,0.908,0.042,0.481
10,Luxembourg,7.238,634.814,11.647,0.908,72.6,0.907,-0.034,0.386
11,Canada,7.232,38067.903,10.776,0.926,73.8,0.915,0.089,0.415
12,Australia,7.223,25788.215,10.796,0.94,73.9,0.914,0.159,0.442
13,United Kingdom,7.165,68207.116,10.707,0.934,72.5,0.859,0.233,0.459
14,Israel,7.129,8789.774,10.575,0.939,73.503,0.8,0.031,0.753
15,Costa Rica,7.121,5139.052,9.88,0.891,71.4,0.934,-0.126,0.809
16,Ireland,7.129,4982.907,11.342,0.947,72.4,0.879,0.077,0.363
17,Germany,7.076,83900.473,10.873,0.903,72.5,0.875,0.011,0.46
18,United States,6.94,332915.073,11.023,0.92,68.2,0.837,0.098,0.698
19,Czech Republic,6.911,10724.555,10.556,0.947,70.807,0.858,-0.208,0.868
20,Belgium,6.864,11632.326,10.823,0.906,72.199,0.783,-0.153,0.646
21,United Arab Emirates,6.791,9991.089,11.085,0.844,67.333,0.932,0.074,0.589
22,Malta,6.773,442.784,10.674,0.931,72.2,0.927,0.133,0.653
23,France,6.664,65426.179,10.704,0.942,74,0.822,-0.147,0.571
24,Mexico,6.465,130262.216,9.859,0.831,68.597,0.862,-0.147,0.799
25,Taiwan,6.455,23855.01,10.871,0.898,69.6,0.784,-0.07,0.721
26,Uruguay,6.44,3485.151,9.966,0.925,69.1,0.896,-0.092,0.59
27,Saudi Arabia,6.406,35340.683,10.743,0.891,66.603,0.877,-0.149,0.684
28,Spain,6.401,46745.216,10.571,0.932,74.7,0.761,-0.081,0.745
29,Guatemala,6.399,18249.86,9.053,0.813,64.958,0.906,-0.038,0.775
30,Italy,6.387,60367.477,10.623,0.88,73.8,0.693,-0.084,0.866
31,Singapore,6.377,5896.686,11.488,0.915,76.953,0.927,-0.018,0.082
32,Brazil,6.376,213993.437,9.577,0.882,66.601,0.804,-0.071,0.756
33,Slovenia,6.363,2078.724,10.529,0.948,71.4,0.949,-0.101,0.806
34,El Salvador,6.253,6518.499,0.794,1.242,0.789,0.43,0.093,0.074
36,Panama,6.305,4381.579,10.35,0.896,69.652,0.872,-0.166,0.856
37,Slovakia,6.281,5460.721,10.369,0.936,69.201,0.766,-0.124,0.911
38,Uzbekistan,6.258,33935.763,8.836,0.918,65.255,0.97,0.311,0.515
39,Chile,6.228,19212.361,10.071,0.882,70,0.742,-0.044,0.83
40,Bahrain,6.227,1748.296,10.669,0.862,69.495,0.925,0.089,0.722
41,Lithuania,6.215,2689.862,10.499,0.935,67.906,0.773,-0.203,0.826
42,Trinidad and Tobago,6.192,1403.375,1.231,1.477,0.713,0.489,0.185,0.016
43,Poland,6.186,37797.005,10.382,0.898,69.702,0.841,-0.165,0.735
44,Colombia,6.163,51265.844,9.557,0.847,68.001,0.837,-0.135,0.841
45,Cyprus,6.159,1215.584,10.576,0.802,73.898,0.763,-0.015,0.844
46,Nicaragua,6.137,6702.385,8.62,0.864,67.657,0.836,0.02,0.664
47,Romania,6.124,19127.774,10.284,0.832,67.355,0.845,-0.219,0.938
48,Kuwait,6.102,4328.55,10.817,0.843,66.9,0.867,-0.104,0.736
49,Mauritius,6.101,1273.433,10.008,0.905,66.701,0.867,-0.054,0.789
50,Kazakhstan,6.058,18994.962,10.155,0.952,65.2,0.853,-0.069,0.733
51,Estonia,6.022,1325.185,10.481,0.941,68.8,0.909,-0.106,0.527
52,Philippines,6.006,111046.913,9.076,0.83,62,0.917,-0.097,0.742
53,Hungary,6,9634.164,10.358,0.943,68,0.755,-0.186,0.876
54,Thailand,5.999,69950.85,9.805,0.888,67.401,0.884,0.287,0.895
55,Argentina,5.975,45605.826,9.962,0.898,69,0.828,-0.182,0.834
56,Honduras,5.953,10062.991,8.648,0.812,67.3,0.857,0.081,0.809
57,Latvia,5.95,1866.942,10.315,0.927,67.1,0.715,-0.162,0.8
58,Ecuador,5.925,17888.475,9.313,0.821,68.8,0.842,-0.124,0.843
59,Portugal,5.911,10167.925,10.421,0.879,72.6,0.892,-0.244,0.887
60,Jamaica,5.89,2973.463,9.186,0.877,67.5,0.89,-0.137,0.884
61,South Korea,5.872,51305.186,10.651,0.799,73.9,0.672,-0.083,0.727
62,Japan,5.871,126050.804,10.611,0.884,75.1,0.796,-0.258,0.638
63,Peru,5.797,33359.418,9.458,0.832,68.25,0.822,-0.154,0.891
64,Serbia,5.778,8697.55,9.787,0.873,68.6,0.778,0.002,0.835
65,Bolivia,5.747,11832.94,9.046,0.81,63.901,0.875,-0.077,0.839
66,Pakistan,5.693,225199.937,8.458,0.651,58.709,0.726,0.098,0.787
67,Paraguay,5.692,7219.638,9.448,0.893,65.9,0.876,0.028,0.882
68,Dominican Republic,5.689,10953.703,9.802,0.853,66.102,0.86,-0.133,0.714
69,Bosnia and Herzegovina,5.674,3263.466,9.59,0.87,68.098,0.706,0.113,0.931
70,Moldova,5.608,4024.019,9.454,0.857,65.699,0.822,-0.079,0.918
71,Tajikistan,5.556,9749.627,8.091,0.86,64.281,0.832,-0.056,0.553
72,Montenegro,5.546,628.053,9.94,0.858,68.699,0.708,-0.034,0.812
73,Russia,5.546,145912.025,10.189,0.903,64.703,0.718,-0.111,0.845
74,Kyrgyzstan,5.542,6628.356,8.538,0.893,64.401,0.935,0.119,0.908
75,Belarus,5.54,9442.862,9.853,0.91,66.253,0.65,-0.18,0.627
77,Greece,5.515,10370.744,10.279,0.823,72.6,0.582,-0.288,0.823
78,Hong Kong,5.51,7552.81,11,0.836,76.82,0.717,0.067,0.403
79,Croatia,5.505,4081.651,10.217,0.924,70.799,0.754,-0.118,0.939
80,Libya,5.489,6958.532,9.622,0.827,62.3,0.771,-0.087,0.667
81,Mongolia,5.456,3329.289,9.4,0.935,62.5,0.708,0.116,0.856
82,Malaysia,5.384,32776.194,10.238,0.817,67.102,0.895,0.125,0.839
83,Vietnam,5.353,98168.833,8.973,0.85,68.034,0.94,-0.098,0.796
84,Indonesia,5.286,276361.783,9.365,0.811,62.236,0.873,0.542,0.867
85,Ivory Coast,5.233,27053.629,8.551,0.644,50.114,0.741,-0.016,0.794
86,Benin,5.216,12451.04,8.087,0.489,54.713,0.757,-0.034,0.661
87,Maldives,5.198,543.617,9.826,0.913,70.6,0.854,0.024,0.825
88,Republic of the Congo,5.194,5657.013,8.117,0.636,58.221,0.695,-0.068,0.745
89,Azerbaijan,5.165,10223.342,9.569,0.836,65.656,0.814,-0.223,0.506
90,Macedonia,5.16,2082.658,9.693,0.805,65.474,0.751,0.038,0.905
91,Ghana,5.148,31732.129,8.58,0.727,57.586,0.807,0.123,0.848
92,Nepal,5.137,29674.92,8.12,0.774,64.233,0.782,0.152,0.727
93,Turkey,5.132,85042.738,10.24,0.822,67.199,0.576,-0.139,0.776
94,China,5.124,1444216.107,9.673,0.811,69.593,0.904,-0.146,0.755
95,Turkmenistan,5.119,6117.924,9.629,0.983,62.409,0.877,0.273,0.888
96,Bulgaria,5.102,6896.663,10.016,0.931,67,0.788,-0.096,0.932
97,Morocco,5.095,37344.795,8.903,0.56,66.208,0.774,-0.236,0.801
98,Cameroon,5.085,27224.265,8.189,0.71,53.515,0.731,0.026,0.848
99,Venezuela,5.053,28704.954,9.073,0.861,66.7,0.615,-0.169,0.827
100,Algeria,5.005,44616.624,9.342,0.802,66.005,0.48,-0.067,0.752
101,Senegal,4.981,17196.301,8.118,0.71,59.802,0.695,-0.046,0.801
102,Guinea,4.949,13497.244,7.838,0.639,55.008,0.697,0.095,0.766
103,Niger,4.91,25130.817,7.098,0.641,53.78,0.806,0.018,0.693
104,Laos,4.889,7379.358,8.947,0.728,58.968,0.91,0.123,0.658
105,Albania,4.883,2872.933,9.52,0.697,68.999,0.785,-0.03,0.901
106,Cambodia,4.848,16946.438,8.36,0.765,62,0.959,0.034,0.843
107,Bangladesh,4.833,166303.498,8.454,0.693,64.8,0.877,-0.041,0.682
108,Gabon,4.829,2278.825,9.603,0.776,59.962,0.731,-0.2,0.84
109,South Africa,4.814,60041.994,9.403,0.86,56.904,0.749,-0.067,0.86
110,Iraq,4.785,41179.35,9.24,0.746,60.583,0.63,-0.053,0.875
111,Lebanon,4.772,6769.146,9.626,0.848,67.355,0.525,-0.073,0.898
112,Burkina Faso,4.769,21497.096,7.678,0.672,54.151,0.695,-0.009,0.748
113,Gambia,4.751,2486.945,7.686,0.69,55.16,0.697,0.424,0.746
114,Mali,4.729,20855.735,7.744,0.724,51.969,0.697,-0.036,0.827
115,Nigeria,4.724,211400.708,8.533,0.74,50.102,0.737,0.037,0.878
116,Armenia,4.677,2968.127,9.487,0.799,67.055,0.825,-0.168,0.629
117,Georgia,4.673,3979.765,9.585,0.671,64.3,0.783,-0.238,0.655
118,Iran,4.672,85028.759,9.584,0.71,66.3,0.608,0.218,0.714
119,Jordan,4.633,10269.021,9.182,0.767,67,0.755,-0.167,0.705
120,Mozambique,4.624,32163.047,7.158,0.744,54.706,0.882,0.061,0.684
121,Kenya,4.583,54985.698,8.361,0.688,60.704,0.779,0.287,0.825
122,Namibia,4.571,2587.344,9.161,0.818,56.799,0.719,-0.149,0.847
123,Ukraine,4.561,43466.819,9.436,0.888,64.902,0.724,-0.011,0.924
124,Liberia,4.558,5180.203,7.288,0.72,56.498,0.735,0.05,0.85
125,Palestine,4.553,5222.748,8.485,0.826,62.25,0.653,-0.163,0.821
126,Uganda,4.432,47123.531,7.677,0.781,56.101,0.709,0.122,0.855
127,Chad,4.423,16914.985,7.364,0.619,48.478,0.579,0.041,0.807
128,Tunisia,4.392,11935.766,9.266,0.691,67.201,0.656,-0.201,0.87
129,Mauritania,4.375,4775.119,8.542,0.795,57.161,0.561,-0.106,0.731
130,Sri Lanka,4.327,21497.31,9.47,0.827,67.299,0.841,0.079,0.863
131,DR Congo,4.311,92377.993,8.117,0.636,58.221,0.695,-0.068,0.745
132,Swaziland,4.308,1172.362,9.065,0.77,50.833,0.647,-0.185,0.708
133,Myanmar,4.308,54806.012,8.541,0.779,59.302,0.876,0.509,0.66
134,Comoros,4.289,888.451,8.031,0.626,57.349,0.548,0.082,0.781
135,Togo,4.187,8478.25,7.362,0.569,54.914,0.619,0.032,0.772
136,Ethiopia,4.186,117876.227,7.694,0.764,59,0.752,0.082,0.761
137,Madagascar,4.166,28427.328,7.396,0.686,59.305,0.552,-0.005,0.803
138,Egypt,4.151,104258.327,9.367,0.75,61.998,0.749,-0.182,0.795
139,Sierra Leone,3.926,8141.343,7.434,0.63,51.651,0.717,0.084,0.866
140,Burundi,3.775,12255.433,6.635,0.49,53.4,0.626,-0.024,0.607
141,Zambia,3.759,18920.651,8.145,0.708,55.809,0.782,0.061,0.823
142,Haiti,3.721,11541.685,7.477,0.54,55.7,0.593,0.422,0.721
143,Lesotho,3.653,2159.079,7.926,0.787,48.7,0.715,-0.131,0.915
144,India,3.573,1393409.038,8.755,0.603,60.633,0.893,0.089,0.774
145,Malawi,3.538,19647.684,6.958,0.537,57.948,0.78,0.038,0.729
146,Yemen,3.527,30490.64,7.578,0.832,57.122,0.602,-0.147,0.8
147,Botswana,3.479,2397.241,9.782,0.784,59.269,0.824,-0.246,0.801
148,Tanzania,3.476,61498.437,7.876,0.702,57.999,0.833,0.183,0.577
149,Central African Republic,3.476,4919.981,0.026,0,0.105,0.225,0.235,0.035
150,Rwanda,3.312,13276.513,7.676,0.552,61.4,0.897,0.061,0.167
151,Zimbabwe,3.299,15092.171,7.943,0.75,56.201,0.677,-0.047,0.821
152,South Sudan,2.817,11381.378,0.306,0.575,0.295,0.01,0.202,0.091
153,Afghanistan,2.567,39835.428,7.695,0.463,52.493,0.382,-0.102,0.924
